 ID,PARAM,Date,Concentration,SYM
08MH024,3,16-08-1966,111,S
08MH024,3,17-08-1966,122,S
08MH024,3,18-08-1966,133,S
08MH024,3,19-08-1966,156,S
08MH024,3,20-08-1966,167,S
08MH024,3,21-08-1966,144,S
08MH024,3,22-08-1966,117,S
08MH024,3,23-08-1966,100,S
08MH024,3,24-08-1966,78,S
08MH024,3,25-08-1966,100,S
08MH024,3,26-08-1966,100,S
08MH024,3,27-08-1966,71,S
08MH024,3,28-08-1966,88,S
08MH024,3,29-08-1966,77,S
08MH024,3,30-08-1966,66,S
08MH024,3,31-08-1966,60,S
08MH024,3,1966-01-09,65,S
08MH024,3,1966-02-09,82,S
08MH024,3,1966-03-09,87,S
08MH024,3,1966-04-09,76,S
08MH024,3,1966-05-09,65,S
08MH024,3,1966-06-09,65,S
08MH024,3,1966-07-09,59,S
08MH024,3,1966-08-09,45,S
08MH024,3,1966-09-09,44,S
08MH024,3,1966-10-09,48,S
08MH024,3,1966-11-09,58,S
08MH024,3,1966-12-09,49,S
08MH024,3,13-09-1966,48,S
08MH024,3,14-09-1966,42,S
08MH024,3,15-09-1966,47,S
08MH024,3,16-09-1966,42,S
08MH024,3,17-09-1966,36,S
08MH024,3,18-09-1966,37,S
08MH024,3,19-09-1966,38,S
08MH024,3,20-09-1966,39,S
08MH024,3,21-09-1966,31,S
08MH024,3,22-09-1966,40,S
08MH024,3,23-09-1966,41,S
08MH024,3,24-09-1966,39,S
08MH024,3,25-09-1966,51,S
08MH024,3,26-09-1966,46,S
08MH024,3,27-09-1966,40,S
08MH024,3,28-09-1966,39,S
08MH024,3,29-09-1966,38,S
08MH024,3,30-09-1966,35,S
08MH024,3,1966-01-10,39,
08MH024,3,1966-02-10,60,
08MH024,3,1966-03-10,75,S
08MH024,3,1966-04-10,75,
08MH024,3,1966-05-10,75,
08MH024,3,1966-06-10,75,S
08MH024,3,1966-07-10,70,
08MH024,3,1966-08-10,60,S
08MH024,3,1966-09-10,47,
08MH024,3,1966-10-10,43,
08MH024,3,1966-11-10,45,
08MH024,3,1966-12-10,49,S
08MH024,3,13-10-1966,48,
08MH024,3,14-10-1966,43,
08MH024,3,15-10-1966,36,
08MH024,3,16-10-1966,30,
08MH024,3,17-10-1966,26,S
08MH024,3,18-10-1966,25,
08MH024,3,19-10-1966,27,S
08MH024,3,20-10-1966,38,
08MH024,3,21-10-1966,37,
08MH024,3,22-10-1966,33,
08MH024,3,23-10-1966,49,
08MH024,3,24-10-1966,90,S
08MH024,3,25-10-1966,60,
08MH024,3,26-10-1966,27,S
08MH024,3,27-10-1966,25,
08MH024,3,28-10-1966,29,
08MH024,3,29-10-1966,40,
08MH024,3,30-10-1966,60,S
08MH024,3,31-10-1966,55,
08MH024,3,1966-01-11,42,S
08MH024,3,1966-02-11,35,
08MH024,3,1966-03-11,29,
08MH024,3,1966-04-11,24,S
08MH024,3,1966-05-11,24,
