,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
257,,1984-09-14,,,,3610.0
258,,1984-09-15,,,,3430.0
259,,1984-09-16,,,,3230.0
260,,1984-09-17,,,,3020.0
261,,1984-09-18,,,,2950.0
262,,1984-09-19,,,,2920.0
263,,1984-09-20,,,,3040.0
264,,1984-09-21,,,,3900.0
265,,1984-09-22,,,,4230.0
266,,1984-09-23,,,,4190.0
267,,1984-09-24,,,,3890.0
268,,1984-09-25,,,,3640.0
269,,1984-09-26,,,,3380.0
270,,1984-09-27,,,,3080.0
271,80.0,1984-09-28,4.443445574999998,140.30440127499983,4.382026634673881,2890.0
272,,1984-09-29,,,,2730.0
273,,1984-09-30,,,,2610.0
274,,1984-10-01,,,,2490.0
275,,1984-10-02,,,,2440.0
276,,1984-10-03,,,,2260.0
277,,1984-10-04,,,,2230.0
278,,1984-10-05,,,,2150.0
279,,1984-10-06,,,,2170.0
280,,1984-10-07,,,,2410.0
281,,1984-10-08,,,,2670.0
282,,1984-10-09,,,,3220.0
283,,1984-10-10,,,,3890.0
284,,1984-10-11,,,,4580.0
285,,1984-10-12,,,,5290.0
286,,1984-10-13,,,,5500.0
287,,1984-10-14,,,,5380.0
288,,1984-10-15,,,,5120.0
289,,1984-10-16,,,,4680.0
290,,1984-10-17,,,,4340.0
291,,1984-10-18,,,,4020.0
292,,1984-10-19,,,,3630.0
293,,1984-10-20,,,,3340.0
294,,1984-10-21,,,,3110.0
295,,1984-10-22,,,,2950.0
296,,1984-10-23,,,,2750.0
297,,1984-10-24,,,,2570.0
298,,1984-10-25,,,,2640.0
299,,1984-10-26,,,,2560.0
300,,1984-10-27,,,,2390.0
301,,1984-10-28,,,,2520.0
302,,1984-10-29,,,,2660.0
303,,1984-10-30,,,,2530.0
304,,1984-10-31,,,,2370.0
305,,1984-11-01,,,,2000.0
306,,1984-11-02,,,,1910.0
307,,1984-11-03,,,,2210.0
308,,1984-11-04,,,,2450.0
309,,1984-11-05,,,,2400.0
310,,1984-11-06,,,,2120.0
311,,1984-11-07,,,,2430.0
312,,1984-11-08,,,,2280.0
313,,1984-11-09,,,,2170.0
314,,1984-11-10,,,,2210.0
315,,1984-11-11,,,,2240.0
316,,1984-11-12,,,,2140.0
317,,1984-11-13,,,,2190.0
318,,1984-11-14,,,,2260.0
319,,1984-11-15,,,,2160.0
320,,1984-11-16,,,,2060.0
321,,1984-11-17,,,,1880.0
322,,1984-11-18,,,,1670.0
323,,1984-11-19,,,,1750.0
324,,1984-11-20,,,,1970.0
325,,1984-11-21,,,,1920.0
326,,1984-11-22,,,,1930.0
327,,1984-11-23,,,,1850.0
328,,1984-11-24,,,,2010.0
329,,1984-11-25,,,,1890.0
330,,1984-11-26,,,,1850.0
331,,1984-11-27,,,,1700.0
332,,1984-11-28,,,,1940.0
333,,1984-11-29,,,,1840.0
334,,1984-11-30,,,,1960.0
335,,1984-12-01,,,,1960.0
336,,1984-12-02,,,,1810.0
337,,1984-12-03,,,,1630.0
338,,1984-12-04,,,,1650.0
339,,1984-12-05,,,,1620.0
340,,1984-12-06,,,,1500.0
341,,1984-12-07,,,,1370.0
342,,1984-12-08,,,,1580.0
343,,1984-12-09,,,,1620.0
344,,1984-12-10,,,,1590.0
345,,1984-12-11,,,,1460.0
346,,1984-12-12,,,,1490.0
347,,1984-12-13,,,,1540.0
348,,1984-12-14,,,,1630.0
349,,1984-12-15,,,,1810.0
350,,1984-12-16,,,,1510.0
351,,1984-12-17,,,,1490.0
352,,1984-12-18,,,,1440.0
