date,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,Green,Red,NIR,SWIR1,SWIR2,Blue
1987-09-21,8672.0,9358.0,8719.0,8470.0,7682.0,7537.0,0.05734499999999998,0.03977249999999999,0.03292500000000001,0.011254999999999987,0.00726750000000001,0.038479999999999986
1987-09-30,8264.0,8801.0,8163.5,7957.0,7574.0,7365.0,0.042027499999999995,0.024496249999999997,0.018817499999999987,0.008284999999999987,0.002537499999999998,0.027260000000000006
1987-10-16,9285.0,9604.0,9112.5,8732.0,7764.0,7595.0,0.06411,0.05059374999999999,0.04013,0.013509999999999994,0.008862499999999995,0.055337499999999984
1988-04-09,8990.5,9862.5,9811.0,8867.5,7819.0,7643.0,0.07121875,0.06980249999999999,0.04385625,0.015022499999999994,0.010182499999999983,0.047238749999999996
1988-07-21,9273.0,10345.0,9668.0,8426.0,7674.0,7607.0,0.0844875,0.06586999999999998,0.03171499999999999,0.01103499999999999,0.009192499999999992,0.05500749999999999
1988-07-30,9317.0,10354.0,9638.0,8331.0,7440.0,7456.0,0.084735,0.06504500000000002,0.029102500000000003,0.004599999999999993,0.005039999999999989,0.056217499999999976
1988-08-31,9620.0,10478.0,9770.0,10279.5,9005.5,8417.0,0.08814499999999997,0.06867499999999999,0.08268624999999999,0.04765124999999999,0.03146750000000001,0.06455
1989-07-24,9568.0,10780.0,10266.0,8662.0,7657.0,7599.0,0.09644999999999998,0.08231499999999997,0.03820499999999999,0.010567500000000007,0.008972499999999994,0.06312000000000001
1989-09-10,8760.0,9594.0,9113.0,8106.0,7561.0,7528.0,0.06383499999999998,0.05060749999999997,0.02291499999999999,0.007927500000000004,0.0070199999999999985,0.04089999999999999
1990-07-20,9527.0,10806.0,10659.0,8813.0,7463.0,7465.0,0.097165,0.0931225,0.04235749999999999,0.005232500000000001,0.0052875000000000005,0.061992500000000006
1990-08-12,9613.0,10732.0,10330.0,8726.0,7663.0,7467.0,0.09512999999999999,0.08407500000000001,0.039965,0.010732500000000006,0.0053425,0.06435750000000001
1990-08-28,9480.0,10754.0,10031.0,8342.0,7533.0,7510.0,0.09573500000000001,0.07585249999999999,0.029404999999999987,0.007157499999999983,0.006525000000000003,0.060699999999999976
1990-09-06,9318.0,10223.0,9528.0,8118.0,7508.0,7503.0,0.0811325,0.06202000000000002,0.023244999999999988,0.0064700000000000035,0.006332499999999991,0.05624499999999999
1990-09-13,9122.0,9927.0,9250.0,8415.0,7547.0,7525.0,0.07299250000000002,0.05437500000000001,0.03141250000000001,0.0075425000000000075,0.006937499999999985,0.050854999999999984
1990-09-22,8697.0,9445.0,8609.0,7938.0,7439.0,7363.0,0.0597375,0.03674749999999999,0.018295000000000006,0.004572500000000007,0.0024824999999999986,0.039167499999999994
1991-03-17,8746.5,9230.0,8823.5,8212.0,7593.0,7562.5,0.05382500000000001,0.04264625,0.025829999999999992,0.008807499999999996,0.007968749999999997,0.04052875
1991-04-18,10162.5,11429.5,11745.0,10459.0,7845.0,7601.0,0.11431125,0.12298750000000003,0.08762249999999999,0.015737499999999988,0.009027499999999994,0.07946875
1991-06-05,9568.0,10782.0,10740.0,8984.0,7536.0,7454.0,0.09650500000000001,0.09534999999999999,0.04705999999999999,0.0072399999999999964,0.0049849999999999894,0.06312000000000001
1991-07-07,9791.0,11206.0,11131.0,9289.0,7535.0,7454.0,0.10816500000000001,0.10610249999999999,0.05544749999999998,0.007212499999999983,0.0049849999999999894,0.0692525
1991-07-23,9660.0,10926.0,10517.0,8642.0,7446.0,7459.0,0.10046500000000003,0.0892175,0.037654999999999994,0.0047649999999999915,0.005122500000000002,0.06564999999999999
1991-07-30,9729.0,11001.0,10828.0,8848.0,7473.0,7470.0,0.1025275,0.09777000000000002,0.04332,0.0055074999999999985,0.005424999999999985,0.06754749999999998
1991-08-15,9779.0,11242.0,11042.0,9412.0,7474.0,7476.0,0.109155,0.103655,0.05882999999999999,0.005534999999999984,0.005589999999999984,0.0689225
1991-09-09,9822.0,11531.0,11400.0,9198.0,7518.0,7344.0,0.1171025,0.11349999999999999,0.05294500000000002,0.006745000000000001,0.0019599999999999895,0.07010499999999997
1991-09-16,9427.0,10517.0,9987.0,8470.0,7559.0,7363.0,0.0892175,0.0746425,0.03292500000000001,0.007872500000000004,0.0024824999999999986,0.059242499999999976
1991-09-25,9915.0,10900.0,10169.0,9795.0,8718.0,8283.0,0.09975,0.07964749999999998,0.0693625,0.039745,0.027782499999999988,0.07266250000000002
1991-10-11,9012.0,9744.0,8877.0,8480.0,7606.0,7586.0,0.06796000000000002,0.044117500000000004,0.03320000000000001,0.009165000000000006,0.008614999999999984,0.04783000000000001
1992-04-20,12486.0,12807.0,12577.0,13301.0,10348.0,9362.0,0.1521925,0.14586749999999998,0.16577750000000002,0.08456999999999998,0.05745499999999998,0.14336500000000002
1992-05-06,9807.0,11099.0,11106.0,10955.0,7993.0,7577.0,0.1052225,0.10541499999999998,0.10126249999999998,0.019807500000000006,0.0083675,0.06969249999999999
1992-07-16,9782.0,11066.5,10333.0,9364.0,7746.0,7465.0,0.10432875,0.0841575,0.057510000000000006,0.013014999999999999,0.0052875000000000005,0.06900499999999998
1992-08-10,9817.0,11141.0,10491.0,9236.0,7575.0,7475.0,0.10637750000000001,0.08850249999999998,0.05398999999999998,0.0083125,0.005562499999999998,0.06996750000000002
1992-08-17,9740.0,10924.0,10051.0,9120.0,7798.0,7483.0,0.10041,0.07640249999999998,0.05080000000000001,0.014444999999999986,0.005782499999999996,0.06785000000000002
1992-09-27,9694.0,11104.0,11076.0,10095.0,7697.0,7547.0,0.10536000000000001,0.10459000000000002,0.07761249999999997,0.011667499999999997,0.0075425000000000075,0.066585
